ID,plug,species,tank,treatment,chim,size,dose,days,disease,surv,area,perc_left,rate,prev
CN1,A1,Cnat,control,control,chimera,small,1,0,0,1,0.586,100,,
CN2,A1,Cnat,control,control,chimera,small,1,0,0,1,0.705,100,,
CN3,A1,Cnat,control,control,chimera,small,1,0,0,1,0.791,100,,
CN4,A1,Cnat,control,control,chimera,small,1,0,0,1,0.945,100,,
CN5,A1,Cnat,control,control,chimera,medium,1,0,0,1,1.839,100,,
CN6,A1,Cnat,control,control,solitary,medium,1,0,0,1,1.876,100,,
CN7,A1,Cnat,control,control,chimera,medium,1,0,0,1,2.184,100,,
CN8,A1,Cnat,control,control,chimera,medium,1,0,0,1,2.538,100,,
CN9,A1,Cnat,control,control,chimera,medium,1,0,0,1,2.887,100,,
CN10,A1,Cnat,control,control,chimera,medium,1,0,0,1,4.08,100,,
CN11,A1,Cnat,control,control,chimera,medium,1,0,0,1,4.768,100,,
CN12,A1,Cnat,control,control,chimera,large,1,0,0,1,5.34,100,,
CN13,A1,Cnat,control,control,chimera,large,1,0,0,1,5.973,100,,
CN14,A1,Cnat,control,control,chimera,large,1,0,0,1,6.552,100,,
CN15,A1,Cnat,control,control,solitary,large,1,0,0,1,7.197,100,,
CN16,A1,Cnat,control,control,chimera,large,1,0,0,1,7.343,100,,
CN17,A1,Cnat,control,control,solitary,large,1,0,0,1,12.564,100,,
CN18,A10,Cnat,control,control,solitary,small,1,0,0,1,0.519,100,,
CN19,A10,Cnat,control,control,chimera,small,1,0,0,1,0.736,100,,
CN20,A10,Cnat,control,control,chimera,small,1,0,0,1,0.807,100,,
CN21,A10,Cnat,control,control,solitary,medium,1,0,0,1,2.364,100,,
CN22,A10,Cnat,control,control,solitary,medium,1,0,0,1,1.776,100,,
CN23,A10,Cnat,control,control,solitary,medium,1,0,0,1,3.946,100,,
CN24,A10,Cnat,control,control,solitary,medium,1,0,0,1,1.947,100,,
CN25,A10,Cnat,control,control,solitary,medium,1,0,0,1,2.005,100,,
CN26,A10,Cnat,control,control,solitary,large,1,0,0,1,6.886,100,,
CN27,A10,Cnat,control,control,solitary,small,1,0,0,1,0.798,100,,
CN28,A10,Cnat,control,disease,solitary,small,1,0,0,1,0.653,100,,
CN29,A2,Cnat,control,control,chimera,small,1,0,0,1,0.456,100,,
CN30,A2,Cnat,control,control,chimera,small,1,0,0,1,0.482,100,,
CN31,A2,Cnat,control,control,chimera,small,1,0,0,1,0.504,100,,
CN32,A2,Cnat,control,control,chimera,small,1,0,0,1,0.553,100,,
CN33,A2,Cnat,control,control,chimera,small,1,0,0,1,0.601,100,,
CN34,A2,Cnat,control,control,chimera,small,1,0,0,1,0.639,100,,
CN35,A2,Cnat,control,control,solitary,small,1,0,0,1,0.654,100,,
CN36,A2,Cnat,control,control,chimera,small,1,0,0,1,0.716,100,,
CN37,A2,Cnat,control,control,solitary,medium,1,0,0,1,0.717,100,,
CN38,A2,Cnat,control,control,chimera,small,1,0,0,1,0.745,100,,
CN39,A2,Cnat,control,control,chimera,small,1,0,0,1,0.783,100,,
CN40,A2,Cnat,control,control,solitary,small,1,0,0,1,0.798,100,,
